HouseDescription,Address,Cost
For Sale Townhouse 5 Bedrooms 3 Bathrooms 170 sqm. ,"Baguio City Economic Zone, Baguio, Benguet",₱ 10.0 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 180 sqm. ,"Limay, Bataan",₱ 5.80 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 101 sqm. ,"Angeles, Pampanga",₱ 3.62 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 42 sqm. ,"Santa Rosa, Laguna",₱ 2.14 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"Puerto Princesa, Palawan",₱ 2.90 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 308 sqm. ,"Davao City, Davao del Sur",₱ 33.0 million
For Sale Townhouse 5 Bedrooms 3 Bathrooms 260 sqm. ,"Mandaluyong, Metro Manila",₱ 13.4 million
For Sale Townhouse 4 Bedrooms 3 Bathrooms 139 sqm. ,"Pasay, Metro Manila",₱ 18.0 million
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 24 sqm. ,"General Trias, Cavite",₱ 2.00 million
For Sale Duplex / Twin House 4 Bedrooms 4 Bathrooms 410 sqm. ,"Taguig, Metro Manila",₱ 48.8 million
For Sale Single Attached House 4 Bedrooms 2 Bathrooms 500 sqm. ,"Parañaque, Metro Manila",₱ 25.0 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"San Fernando, La Union",₱ 2.50 million
For Sale Others 9 Bedrooms 6 Bathrooms 500 sqm. ,"Muntinlupa, Metro Manila",₱ 50.0 million
For Sale Single Attached House 3 Bedrooms 3 Bathrooms 183 sqm. ,"Liloan, Cebu",₱ 12.3 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 33 sqm. ,"Sariaya, Quezon","₱ 669,600"
For Sale Duplex / Twin House 2 Bedrooms 1 Bathroom 75 sqm. ,"Calamba, Laguna",₱ 5.00 million
For Sale Townhouse 1 Bathroom 50 sqm. ,"Bogo, Cebu",₱ 1.40 million
For Sale Single Attached House 3 Bedrooms 1 Bathroom 42 sqm. ,"Ivisan, Capiz",₱ 1.87 million
