HouseDescription,Address,Cost
For Sale Residential Condominium 1 Bedroom 1 Bathroom 27 sqm. ,"Fairview, Quezon City / QC, Metro Manila",₱ 2.46 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 30 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 2.60 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Las Piñas, Metro Manila",₱ 2.85 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 27 sqm. ,"Ortigas, Pasig, Metro Manila",₱ 4.50 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 62 sqm. ,"Bacoor, Cavite",₱ 5.43 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 40 sqm. ,"Biñan, Laguna",₱ 4.21 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 31 sqm. ,"Cubao, Quezon City / QC, Metro Manila",₱ 4.00 million
For Sale Residential Condominium Studio 1 Bathroom 24 sqm. ,"Pasig, Metro Manila",₱ 5.60 million
For Sale Residential Condominium Studio 1 Bathroom 21 sqm. ,"Manila, Metro Manila",₱ 4.60 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 86 sqm. ,"Ortigas, Pasig, Metro Manila",₱ 24.0 million
For Sale Residential Condominium Studio 1 Bathroom 50 sqm. ,"Angeles, Pampanga",₱ 7.80 million
For Sale Residential Condominium Studio 1 Bathroom 31 sqm. ,"Quezon City / QC, Metro Manila",₱ 8.60 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 25 sqm. ,"Mandaluyong, Metro Manila",₱ 3.10 million
For Sale Residential Condominium 3 Bedrooms 4 Bathrooms 181 sqm. ,"Makati, Metro Manila",₱ 71.1 million
For Sale Condotels 1 Bedroom 1 Bathroom 67 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 26.3 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 56 sqm. ,"Las Piñas, Metro Manila",₱ 7.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 30 sqm. ,"Las Piñas, Metro Manila",₱ 4.80 million
For Sale Residential Condominium Studio 1 Bathroom 21 sqm. ,"Iloilo City, Iloilo",₱ 2.35 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 109 sqm. ,"Taguig, Metro Manila",₱ 28.0 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 56 sqm. ,"Tagaytay, Cavite",₱ 6.70 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 32 sqm. ,"Mandaluyong, Metro Manila",₱ 5.44 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 30 sqm. ,"Mandaluyong, Metro Manila",₱ 4.48 million
For Sale Residential Condominium Studio 1 Bathroom 24 sqm. ,"Taguig, Metro Manila",₱ 5.94 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 65 sqm. ,"Mandaluyong, Metro Manila",₱ 7.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 27 sqm. ,"Pasay, Metro Manila",₱ 4.20 million
For Sale 1 Bedroom 1 Bathroom 28 sqm. ,"Biñan, Laguna",₱ 2.52 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 25 sqm. ,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",₱ 5.90 million
For Sale Residential Condominium 1 Bedroom 33 sqm. ,"Malolos, Bulacan",₱ 6.54 million
For Sale 1 Bedroom 1 Bathroom 27 sqm. ,"Mandaluyong, Metro Manila",₱ 3.75 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Manila, Metro Manila",₱ 2.40 million
For Sale Residential Condominium Studio 1 Bathroom 41 sqm. ,"Makati, Metro Manila",₱ 8.30 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 22 sqm. ,"Manila, Metro Manila",₱ 2.20 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 27 sqm. ,"Quezon City / QC, Metro Manila",₱ 3.80 million
For Sale Residential Condominium Studio 1 Bathroom 26 sqm. ,"Quezon City / QC, Metro Manila",₱ 4.16 million
For Sale Residential Condominium Studio 1 Bathroom 28 sqm. ,"Pasig, Metro Manila",₱ 3.38 million
For Sale Residential Condominium Studio 1 Bathroom 26 sqm. ,"Quezon City / QC, Metro Manila",₱ 4.26 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 46 sqm. ,"Las Piñas, Metro Manila",₱ 4.13 million
For Sale Residential Condominium Studio 1 Bathroom 28 sqm. ,"Makati, Metro Manila",₱ 11.5 million
For Sale Residential Condominium 2 Bedrooms 3 Bathrooms 78 sqm. ,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",₱ 22.8 million
For Sale Apartment 2 Bedrooms 1 Bathroom 60 sqm. ,"Los Baños, Laguna",₱ 50.0 million
For Sale Residential Condominium 2 Bedrooms 3 Bathrooms 74 sqm. ,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",₱ 21.0 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 37 sqm. ,"Tagaytay, Cavite",₱ 7.97 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 38 sqm. ,"Bay City / Manila Bay Freeport Zone, Pasay, Metro Manila",₱ 10.8 million
For Sale Residential Condominium Studio 1 Bathroom 23 sqm. ,"Tandang Sora, Quezon City / QC, Metro Manila",₱ 3.40 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 49 sqm. ,"Cebu Business Park, Cebu City, Cebu",₱ 11.8 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 60 sqm. ,"Ortigas, Pasig, Metro Manila",₱ 17.0 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 48 sqm. ,"Ortigas, Pasig, Metro Manila",₱ 12.1 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 60 sqm. ,"Mandaluyong, Metro Manila",₱ 10.3 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Makati, Metro Manila",₱ 7.10 million
For Sale Residential Condominium Studio 1 Bathroom 30 sqm. ,"Makati, Metro Manila",₱ 8.60 million
For Sale Residential Condominium Studio 1 Bathroom 28 sqm. ,"Makati, Metro Manila",₱ 9.80 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 20 sqm. ,"Baguio, Benguet",₱ 3.60 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 31 sqm. ,"Parañaque, Metro Manila",₱ 3.77 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 50 sqm. ,"Mandaluyong, Metro Manila",₱ 8.00 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 38 sqm. ,"Makati, Metro Manila",₱ 6.68 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 30 sqm. ,"Cubao, Quezon City / QC, Metro Manila",₱ 4.47 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 26 sqm. ,"Imus, Cavite",₱ 1.77 million
For Sale Residential Condominium Studio 1 Bathroom 27 sqm. ,"Quezon City / QC, Metro Manila",₱ 2.30 million
For Sale Residential Condominium 3 Bedrooms 3 Bathrooms 157 sqm. ,"Manila, Metro Manila",₱ 25.0 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 60 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 5.59 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 57 sqm. ,"Cebu Business Park, Cebu City, Cebu",₱ 11.0 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 39 sqm. ,"Pasig, Metro Manila",₱ 5.50 million
For Sale Residential Condominium Studio 1 Bathroom 26 sqm. ,"General Trias, Cavite",₱ 5.41 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 68 sqm. ,"Tagaytay, Cavite",₱ 21.4 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 18 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 1.42 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Lapu-Lapu (Opon), Cebu",₱ 2.04 million
For Sale Residential Condominium Studio 1 Bathroom 30 sqm. ,"Makati, Metro Manila",₱ 8.06 million
For Sale Office Condominium 1 Bedroom 1 Bathroom 25 sqm. ,"Pasay, Metro Manila",₱ 11.4 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 30 sqm. ,"Quezon City / QC, Metro Manila",₱ 8.10 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 31 sqm. ,"Cainta, Rizal",₱ 4.50 million
For Sale 1 Bedroom 1 Bathroom 24 sqm. ,"Santa Rosa, Laguna",₱ 3.95 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Las Piñas, Metro Manila",₱ 4.09 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 33 sqm. ,"Dasmariñas, Cavite",₱ 6.20 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 39 sqm. ,"Manila, Metro Manila",₱ 7.00 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 63 sqm. ,"Iloilo City, Iloilo",₱ 9.39 million
For Sale Residential Condominium Studio 1 Bathroom 26 sqm. ,"Tagaytay, Cavite",₱ 3.49 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 26 sqm. ,"Pasay, Metro Manila",₱ 4.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 23 sqm. ,"Novaliches, Quezon City / QC, Metro Manila",₱ 3.40 million
For Sale Residential Condominium Studio 1 Bathroom 24 sqm. ,"San Juan, Metro Manila",₱ 4.72 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 24 sqm. ,"Mandaluyong, Metro Manila",₱ 5.30 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 32 sqm. ,"Taguig, Metro Manila",₱ 3.80 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 51 sqm. ,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",₱ 20.0 million
For Sale Residential Condominium 2 Bedrooms 1 Bathroom 34 sqm. ,"Manila, Metro Manila",₱ 5.30 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 30 sqm. ,"Mandaluyong, Metro Manila",₱ 5.04 million
For Sale Residential Condominium Studio 1 Bathroom 20 sqm. ,"Manila, Metro Manila",₱ 2.30 million
For Sale Residential Condominium Studio 1 Bathroom 24 sqm. ,"Dumaguete, Negros Oriental",₱ 3.50 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 22 sqm. ,"Makati, Metro Manila",₱ 5.00 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 158 sqm. ,"Quezon City / QC, Metro Manila",₱ 39.9 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 120 sqm. ,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",₱ 51.0 million
For Sale Residential Condominium 1 Bedroom 2 Bathrooms 62 sqm. ,"Parañaque, Metro Manila",₱ 3.30 million
For Sale Residential Condominium 2 Bedrooms 2 Bathrooms 68 sqm. ,"Tagaytay, Cavite",₱ 8.70 million
For Sale 1 Bedroom 1 Bathroom 23 sqm. ,"San Jose del Monte, Bulacan",₱ 2.20 million
For Sale Residential Condominium 3 Bedrooms 2 Bathrooms 42 sqm. ,"Quezon City / QC, Metro Manila",₱ 5.00 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 52 sqm. ,"Pasig, Metro Manila",₱ 13.0 million
For Sale Residential Condominium 2 Bedrooms 3 Bathrooms 105 sqm. ,"Pasig, Metro Manila",₱ 32.0 million
For Sale Residential Condominium Studio 23 sqm. ,"Bacolod, Negros Occidental",₱ 4.27 million
For Sale Residential Condominium 1 Bedroom 1 Bathroom 33 sqm. ,"Antipolo, Rizal",₱ 5.66 million
