ProductDescription,Prices
" HP 14S-CF2538TU Intel Core i3 10th Gen
Intel Core i3-10110U (2.1 GHz base frequency, up to 4.1 GHz with Intel Turbo Boost Technology, 4 MB L3 cache, 2 cores), 4 GB DDR4-2666, 512 GB PCIe NVMe M.2 SSD, 14 inches diagonal, HD (1366 x 768), Intel UHD Graphics, Windows 11, Office 2019 Home & Student 
                        	Pay only P 2,919 a Month for 12 months or
P 5,528 a Month for 6 months on major credit cards.
						
"," ₱ 30,999

"
" HP 14s-DQ2616TU Intel Core i3 11th Gen
Intel Core i3-1115G4 (up to 4.1 GHz with Intel Turbo Boost Technology, 6 MB L3 cache, 2 cores, 4 threads), 4GB DDR4, 512GB NVMe M.2 SSD, 35.6 cm (14"") diagonal, HD (1366 x 768), Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,704 a Month for 6 months on major credit cards.
						
"," ₱ 31,990

"
" Acer Aspire 3 A315-58-397K Intel Core i3 11th Gen
Inte Core i3-1115G4, 8GB DDR4, 512GB NVMe M.2 SSD, 15.6 inches FHD (1920 x 1080) Display, Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,704 a Month for 6 months on major credit cards.
						
"," ₱ 31,990

"
" HP 14s-FQ1112AU AMD Ryzen 3 5300U
AMD Ryzen 3 5300U (up to 3.8 GHz max boost clock(2i), 4 MB L3 cache, 4 cores, 8 threads), 4GB DDR4-2666, 256 GB PCIe NVMe M.2 SSD, 14 inches diagonal, HD (1366 x 768), AMD Radeon Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,704 a Month for 6 months on major credit cards.
						
"," ₱ 31,990

"
" HP 14S-DQ2621TU Intel Core i3 11th Gen
Intel Core i3-1115G4 (up to 4.1 GHz with Intel Turbo Boost Technology, 6 MB L3 cache, 2 cores, 4 threads), 8GB DDR4-3200, 512GB PCIe NVMe M.2 SSD, 14 inches HD Display (1366 x 768), Intel UHD Graphics, Windows 11, Microsoft Office Home & Student 2021 (Pre-installed). 
                        	Pay only P 3,012 a Month for 12 months or
P 5,704 a Month for 6 months on major credit cards.
						
"," ₱ 31,990

"
" HP 15s-DU1537TU Intel Core i3 10th Gen
Intel Core i3-10110U (2.1 GHz base frequency, up to 4.1 GHz with Intel® Turbo Boost Technology, 4 MB L3 cache, 2 cores), 4GB DDR4-2666 MHz RAM (1 x 4 GB), 512GB PCIe NVMe M.2 SSD, 15.6 inches diagonal, HD (1366 x 768), Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,704 a Month for 6 months on major credit cards.
						
"," ₱ 31,990

"
" Asus X415EA-EK659W Intel Core i3 11th Gen
Intel Core i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores), 4GB DDR4 on board + 4GB DDR4 SO-DIMM, Memory Max Up to:16GB, 1TB SATA 5400RPM 2.5"" HDD, 128GB M.2 NVMe PCIe 3.0 SSD, 14.0-inch, FHD (1920 x 1080),Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						
"," ₱ 31,995

"
" Asus X515EA-EJ1033W Intel Core i3 11th Gen
Intel Core i3-1115G4, 8GB (4GB DDR4 on board + 4GB DDR4 SO-DIMM), 1TB HDD + 128GB SSD, 15.6 inches FHD (1920 x 1080) Display, Intel UHD Graphics, Windows 11 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						 NOW! P30,999 Promo. Valid until June 30, 2022
"," ₱ 31,995

"
" Asus X515EA-EJ913T Intel Core i3 11th Gen
Intel Core i3-1115G4, 8GB (4GB DDR4 on board + 4GB DDR4 SO-DIMM), 1TB HDD + 128GB SSD, 15.6 inches FHD Display, Intel UHD Graphics, Windows 10 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						 NOW! P30,999 Promo. Valid until June 30, 2022
"," ₱ 31,995

"
" Asus X515EA-EJ1033T Intel Core i3 11th Gen
Intel Core i3-1115G4, 8GB DDR4 MEMORY (2 x SODIMM SLOTS), 128GB M.2 NVME SSD + 1TB HDD, 15.6 inches FHD Display, Intel UHD Graphics, Windows 10 
                        	Pay only P 3,012 a Month for 12 months or
P 5,705 a Month for 6 months on major credit cards.
						 NOW! P30,999 Promo. Valid until June 30, 2022
"," ₱ 31,995

"
