,Region,Sqm,Bathrooms,Bedrooms,Cost
629,Makati,140,3,3,30000000.0
630,III,24,1,0,3350000.0
631,Other NCR loc,18,1,0,730800.0
632,Pasig,65,1,0,23000000.0
633,Quezon City,26,1,0,2700000.0
634,Makati,65,1,3,13700000.0
635,Other City/Province,33,1,0,6900000.0
636,Other City/Province,28,1,0,3800000.0
637,Quezon City,27,1,0,3200000.0
638,IV A,44,1,2,4500000.0
639,Other City/Province,40,1,0,5030000.0
640,IV A,63,1,2,6000000.0
641,Pasig,35,1,0,8500000.0
642,Pasay,24,1,0,7800000.0
643,IV A,18,1,0,2200000.0
644,IV A,20,1,0,2100000.0
645,III,43,1,0,3000000.0
646,III,41,1,0,3200000.0
647,Benguet,23,1,0,5300000.0
648,Other NCR loc,113,2,2,16200000.0
649,Pasig,41,1,0,6000000.0
650,Quezon City,53,1,0,4900000.0
651,Pasig,31,1,0,10700000.0
652,IV A,28,2,2,3780000.0
653,Mandaluyong,24,1,0,4370000.0
654,Mandaluyong,36,1,2,7170000.0
655,Taguig,88,2,2,25500000.0
656,Quezon City,100,2,2,12300000.0
657,VII,20,1,0,1200000.0
658,Quezon City,249,4,5,26000000.0
659,Other NCR loc,52,2,2,8000000.0
660,VII,24,1,0,6160000.0
661,VII,22,1,0,3130000.0
662,VII,82,1,2,21400000.0
663,VII,99,2,2,38000000.0
664,Mandaluyong,21,1,0,2630000.0
665,Taguig,51,1,0,20000000.0
666,Pasay,22,1,0,4950000.0
667,Quezon City,53,1,0,7000000.0
668,Other City/Province,31,1,0,5000000.0
669,Other NCR loc,40,1,0,11800000.0
670,VII,35,1,2,4000000.0
671,Pasig,42,1,3,4200000.0
672,IV A,23,1,0,5000000.0
673,VII,35,1,2,4000000.0
674,Pasig,42,1,3,4200000.0
675,VII,37,1,2,2400000.0
676,VII,83,3,3,9950000.0
677,IV A,41,1,0,2800000.0
678,IV A,90,2,3,4320000.0
679,Other City/Province,40,1,0,14800000.0
680,Pasig,70,1,0,19000000.0
681,Quezon City,56,2,2,6000000.0
682,Pasig,30,1,2,3160000.0
683,Pasig,30,1,2,3200000.0
684,Other NCR loc,173,4,4,33800000.0
685,Pasay,66,1,0,19000000.0
686,VII,20,1,0,2480000.0
687,Makati,440,8,8,39000000.0
