,Bedrooms,Bathrooms,Sqm,Cost,Zscore
9390,3,2,72,6470000.0,-0.18303260107177807
9391,4,2,80,4900000.0,-0.2623407582951883
9392,3,1,54,2200000.0,-0.3987305828195245
9393,2,1,44,1660000.0,-0.42600854772439173
9394,2,2,53,4890000.0,-0.26284590579342665
9395,3,1,53,2010000.0,-0.40832838528605186
9396,2,1,44,1580000.0,-0.430049727710298
9397,2,1,35,1590000.0,-0.4295445802120597
9398,2,1,50,3770000.0,-0.3194224255961142
9399,2,1,44,1850000.0,-0.41641074525786437
9400,5,3,166,11200000.0,0.05590216559492931
9401,2,1,46,3480000.0,-0.33407170304502437
9402,2,1,36,2090000.0,-0.4042872053001456
9403,2,1,53,4330000.0,-0.2911341656947704
9404,2,2,53,4830000.0,-0.2658767907828563
9405,5,3,128,9030000.0,-0.05371484152277788
9406,2,1,36,2670000.0,-0.3749886504023252
9407,3,2,72,6370000.0,-0.1880840760541609
9408,2,1,46,2860000.0,-0.3653908479357979
9409,5,3,100,8390000.0,-0.08604428141002793
9410,2,2,53,11800000.0,0.08621101548922623
9411,5,3,110,16300000.0,0.3135273896964531
9412,2,1,46,4430000.0,-0.2860826907123876
9413,2,2,53,10100000.0,0.00033594078871828893
9414,2,1,40,3570000.0,-0.32952537556087985
9415,2,1,40,3330000.0,-0.3416489155185986
9416,2,1,40,3090000.0,-0.3537724554763174
9417,3,1,42,2790000.0,-0.36892688042346583
9418,2,1,36,1700000.0,-0.4239879577314386
9419,2,1,40,2150000.0,-0.4012563203107159
9420,3,2,53,4780000.0,-0.26840252827404776
9421,3,2,72,7760000.0,-0.1178685737990397
9422,5,3,143,8780000.0,-0.06634352897873494
9423,2,1,40,3240000.0,-0.3461952430027432
9424,2,1,46,3540000.0,-0.3310408180555947
9425,5,3,100,7460000.0,-0.13302299874618817
9426,3,2,66,5240000.0,-0.24516574335508676
9427,4,3,100,8470000.0,-0.08200310142412168
9428,0,1,22,865000.0,-0.4661677738343351
9429,3,2,64,9100000.0,-0.05017880903510991
9430,2,2,53,4730000.0,-0.27092826576523915
9431,2,1,40,2640000.0,-0.37650409289704007
9432,2,1,36,2520000.0,-0.38256586287589944
9433,2,1,36,2050000.0,-0.40630779529309874
9434,2,1,46,2570000.0,-0.38004012538470805
9435,3,2,66,5410000.0,-0.23657823588503596
9436,3,2,60,7020000.0,-0.15524948866867255
9437,5,3,100,8500000.0,-0.08048765892940683
9438,5,3,121,13200000.0,0.1569316652425857
9439,2,1,36,1940000.0,-0.4118644177737198
9440,2,11,50,999970.0,-0.45934979805061305
9441,0,1,19,502595.0,-0.4844745717442396
9442,2,1,41,1320000.0,-0.4431835626644933
9443,2,1,44,1890000.0,-0.41439015526491124
9444,5,3,142,9120000.0,-0.04916851403863335
9445,2,1,35,1380000.0,-0.4401526776750636
9446,0,1,30,588853.0,-0.4801172704539358
9447,2,2,45,2980000.0,-0.35932907795693847
9448,0,1,47,807610.0,-0.4690668153267246
9449,0,1,21,500000.0,-0.48460565752003243
9450,2,1,56,2400000.0,-0.3886276328547588
9451,4,3,110,6910000.0,-0.16080611114929366
9452,2,1,33,1760000.0,-0.4209570727420089
9453,2,2,40,2950000.0,-0.36084452045165333
9454,3,3,183,23700000.0,0.6873365383927817
9455,0,1,42,1800000.0,-0.41893648274905576
9456,2,2,57,5500000.0,-0.23203190840089144
9457,3,4,92,17100000.0,0.3539391895555157
9458,2,1,44,1040000.0,-0.4573276926151652
9459,5,3,576,55000000.0,2.2684482078786044
9460,3,1,42,1900000.0,-0.413885007766673
9461,2,1,31,526000.0,-0.4832922740246129
9462,7,5,228,30000000.0,1.0055794622828995
9463,2,1,40,2740000.0,-0.3714526179146573
9464,2,1,81,1900000.0,-0.413885007766673
9465,3,1,42,1660000.0,-0.42600854772439173
9466,4,3,200,11500000.0,0.07105659054207777
9467,3,1,42,1700000.0,-0.4239879577314386
9468,5,3,174,9460000.0,-0.03199349909853176
9469,3,1,40,1010000.0,-0.45884313510988006
9470,3,2,104,6680000.0,-0.17242450360877415
9471,3,2,118,7000000.0,-0.15625978366514914
9472,3,2,64,3000000.0,-0.35831878296046193
9473,3,3,215,24000000.0,0.7024909633399302
9474,3,1,42,1600000.0,-0.4290394327138214
9475,2,1,45,1230000.0,-0.44772989014863784
9476,2,1,52,2510000.0,-0.38307101037413777
9477,3,2,104,6680000.0,-0.17242450360877415
9478,3,2,66,6330000.0,-0.190104666047114
9479,2,1,53,1770000.0,-0.4204519252437706
9480,3,1,51,2200000.0,-0.3987305828195245
9481,3,2,51,2300000.0,-0.39367910783714166
9482,3,1,40,2000000.0,-0.40883353278429013
9483,2,1,41,1600000.0,-0.4290394327138214
9484,3,2,98,7900000.0,-0.11079650882370375
9485,2,2,53,4780000.0,-0.26840252827404776
9486,3,1,45,1970000.0,-0.410348975279005
9487,2,1,50,2300000.0,-0.39367910783714166
9488,3,1,42,2290000.0,-0.39418425533537993
9489,3,3,60,3320000.0,-0.34215406301683693
9490,5,5,450,22000000.0,0.6014614636922738
9491,2,2,53,4900000.0,-0.2623407582951883
9492,3,2,150,5000000.0,-0.25728928331280554
9493,4,2,125,5660000.0,-0.2239495484290789
9495,5,5,350,35000000.0,1.2581532114020404
9496,2,1,40,1300000.0,-0.44419385766096986
9497,5,3,142,8630000.0,-0.07392074145230916
9498,5,5,300,18800000.0,0.4398142642560236
9499,2,1,50,2150000.0,-0.4012563203107159
9500,4,3,85,8770000.0,-0.06684867647697322
9501,2,1,44,1510000.0,-0.43358576019796596
9502,0,1,22,550000.0,-0.48207992002884104
9503,0,1,22,613500.0,-0.47887223341502794
9504,4,3,110,10800000.0,0.035696265665398026
9505,5,5,450,22000000.0,0.6014614636922738
9506,4,4,318,21000000.0,0.5509467138684456
9507,5,3,120,8800000.0,-0.06533323398225838
9508,2,1,40,2160000.0,-0.40075117281247763
9509,3,1,42,2090000.0,-0.4042872053001456
9510,3,1,42,1900000.0,-0.413885007766673
9511,0,1,25,1230000.0,-0.44772989014863784
9512,2,2,53,4550000.0,-0.28002092073352824
9513,3,1,53,1920000.0,-0.4128747127701964
9514,3,2,72,5580000.0,-0.22799072841498516
9515,4,3,85,6000000.0,-0.20677453348897734
9516,3,1,53,1910000.0,-0.41337986026843465
9517,4,3,85,5870000.0,-0.21334145096607499
9518,2,1,35,1620000.0,-0.42802913771734485
9519,2,1,35,1510000.0,-0.43358576019796596
9520,2,1,44,1400000.0,-0.4391423826785871
9521,3,1,42,1830000.0,-0.4174210402543409
9522,3,1,42,1660000.0,-0.42600854772439173
9523,3,1,42,1760000.0,-0.4209570727420089
9524,3,1,42,2020000.0,-0.40782323778781354
9525,3,1,42,2000000.0,-0.40883353278429013
9526,2,1,46,3010000.0,-0.35781363546222367
9527,2,1,44,1810000.0,-0.4184313352508175
9528,4,4,225,16500000.0,0.3236303396612188
9529,0,1,42,1600000.0,-0.4290394327138214
